DATABASE,FIELD,DESCRIPTION,OBSERVATIONS
billing,customer_id,Customer number,
,period,Billing time period (month of year),
,contract_type_code,Contract type code,
,mkt_id,Market number,
,intervals,Number of intervals observed,
,kwh,Energy usage [kWh],
,price,Energy unit price [$/MWh],
,charge,Billed charge [$],
billing_report,customer_id,Customer number,
,month,Billing period month,
,year,Billing period year,
,contract_type_code,Customer contract type,
,coverage,Fraction of metering expected actually observed,
,kwh_usage,Actual energy usage [kWh],
,charges,Energy cost (0 for the control group) [$],
,kwh_expected,Expected energy (used for income) [kWh],
,deposit,Income given to customer [$],
,unadjusted,Account balance (deposit - charges) [$],
,coverage_adjusted,Fraction of metering observed or interpolated,
,kwh_adjusted,Energy use after coverage adjustment,
,adjusted,Adjusted bill,
billing_trans,billing_trans_id,Billing transaction number,
,customer_id,Customer number,
,trans_type_code,Transaction type code,STMT (statement)
,stmt_start_date,Statement start date [mm/dd/yyyy],
,stmt_end_date,Statement end date [mm/dd/yyyy],
,billing_trans_date,Transaction date [mm/dd/yyyy/,
,trans_amount,Transaction amount [$],
buy,customer_id,Customer number,
,posttime,Time bid has been posted [mm/dd/yyyy hh:mm],
,mkt_id,Market number,
,quantity,Bid quantity [kW],
,price,Bid price [$/MWh],
clear,mkt_id,Market number,
,posttime,Time of meter reading [mm/dd/yyyy hh:mm],
,quantity,Cleared quantity [kW],
,price,Clearing price [$\MWh],
,avg24,Day average market clearing price,
,std24,Day market clearing price standard deviation,
,avg168,Week average market clearing price,
,std168,Week market clearing price standard deviation,
contract_type,contract_type_code,Contract type code,"CTRL, FIXED, RTP, TOU"
,contract_type_desc,Contract type description,
critical_prices,critical_prices_id,Critical prices number,
,cpp_date,Critical Peak Price date,
,cpp_hour,Critical Peak Price hour,
,price,Price [$/MWh],
,unit_type_code,Energy unit price code,
cust_billed_meter_usage,customer_id,Customer number,
,start_time,Recording start time [mm/dd/yyyy hh:mm],
,end_time,Recording end time [mm/dd/yyyy hh:mm],
,meter_usage,Recorded usage [kWh],
,unit_type_code,Usage unit code,
cust_billing_history,customer_id,Customer number,
,billing_month,Billing month code,12*year + (number of month)
,billing_days,Number of billing days in the month,
,kwh_usage,Energy used during the billing days [kWh],
,updated,Flag indicated whether record has been updated,
,billed_amount,Amount billed [$],
cust_contract_history,cust_contract_history_id,Customer contract history number,
,customer_id,Customer number,
,contract_type_code,Contract type code,
,start_date,Contract starting date [mm/dd/yyyy],
,end_date,Contract ending date [mm/dd/yyyy],
cust_device,cust_device_id,Customer device number,
,customer_id,Customer number,
,device_type_id,Device type number,
,instance_id,Device instance identifier,Use when customer has more than one device
